BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20211007,0.030245113722874133,7,0.008100000000000001,388.14,21.84,21102,400,375,0.44,0.94,205544,122937,103.05559849538827,35554181.48090895,1558947.7317533363,0,37113129.21266229,0.0037113129212662287
20211014,0.028444809334607815,7,0.0083,389.59,20.54,21103,402.5,377.5,0.16,0.59,2355,1809,102.67203983675147,19251007.4693909,1594845.1603670456,0,20845852.629757944,0.0020845852629757943
20211021,0.0245533821568937,7,0.0084,393.18,17.73,21104,405,382.5,0.14,0.72,3688,2647,101.73457449514217,21872933.51645557,1614482.543810322,0,23487416.06026589,0.0023487416060265893
20211028,0.023376260056873415,7,0.0087,393.89,16.88,21111,405,382.5,0.26,0.57,5451,2177,101.55119449592526,21071872.85790449,1672008.978238483,0,22743881.836142972,0.0022743881836142974
20211104,0.025425837360438144,7,0.009000000000000001,391.54,18.36,21112,402.5,380,0.5,0.69,162426,139006,102.16069877917964,30392807.88680594,1731273.2791695036,0,32124081.165975444,0.0032124081165975445
20211111,0.025190412940434094,7,0.0089,385.97,18.19,21113,397.5,375,0.22,0.54,2079,2695,103.6349975386688,19690649.532347072,1710210.212235247,0,21400859.744582318,0.002140085974458232
20211118,0.022863865730982234,7,0.0094,387.44,16.51,21114,397.5,377.5,0.5,0.58,3867,3328,103.24179227751394,27875283.914928764,1807764.9141961706,0,29683048.829124935,0.0029683048829124933
20211125,0.022531501843917678,7,0.0099,391.93,16.27,21121,402.5,382.5,0.35,0.45,3827,2423,102.05904115530835,20411808.23106167,1902505.5844120895,0,22314313.81547376,0.002231431381547376
20211202,0.028486354820490885,7,0.0101,389.64,20.57,21122,402.5,377.5,0.45,1.37,167193,65630,102.6588645929576,46709783.38979571,1946033.922426462,0,48655817.312222175,0.004865581731222217
20211209,0.024497988175716277,7,0.010900000000000002,401.13,17.69,21123,412.5,390,0.24,0.85,2958,3262,99.71829581432453,27173235.60940343,2096091.2818547883,0,29269326.89125822,0.002926932689125822
20211216,0.02552277682749864,7,0.0111,397.68,18.43,21124,410,387.5,0.28,0.69,4596,1873,100.58338362502515,24391470.5290686,2133959.4993427633,0,26525430.028411362,0.0026525430028411364
20211223,0.024124078802768657,7,0.011899999999999999,398.15,17.42,21125,410,387.5,0.08,1.23,2455,790,100.46464900163255,32902172.548034664,2289700.6875979486,0,35191873.23563261,0.0035191873235632613
20211230,0.02291925971215966,7,0.0121,394.19,16.55,22011,405,385,0.31,0.62,2991,2785,101.47390852127147,23592683.731195614,2326022.7405809104,0,25918706.471776523,0.002591870647177652
